,code,start_date,end_date
295,al1301,2012-01-16,2013-01-15
296,al1302,2012-02-16,2013-02-18
297,al1303,2012-03-16,2013-03-15
298,al1304,2012-04-17,2013-04-15
299,al1305,2012-05-16,2013-05-15
300,al1306,2012-06-18,2013-06-17
301,al1307,2012-07-17,2013-07-15
302,al1308,2012-08-16,2013-08-15
303,al1309,2012-09-18,2013-09-16
304,al1310,2012-10-16,2013-10-15
305,al1311,2012-11-16,2013-11-15
306,al1312,2012-12-18,2013-12-16
307,al1401,2013-01-16,2014-01-15
308,al1402,2013-02-19,2014-02-17
309,al1403,2013-03-18,2014-03-17
310,al1404,2013-04-16,2014-04-15
311,al1405,2013-05-16,2014-05-15
312,al1406,2013-06-18,2014-06-16
313,al1407,2013-07-16,2014-07-15
314,al1408,2013-08-16,2014-08-15
315,al1409,2013-09-17,2014-09-15
316,al1410,2013-10-16,2014-10-15
317,al1411,2013-11-18,2014-11-17
318,al1412,2013-12-17,2014-12-15
319,al1501,2014-01-16,2015-01-15
320,al1502,2014-02-18,2015-02-10
321,al1503,2014-03-18,2015-03-16
322,al1504,2014-04-16,2015-04-15
323,al1505,2014-05-16,2015-05-15
324,al1506,2014-06-17,2015-06-15
325,al1507,2014-07-16,2015-07-15
326,al1508,2014-08-18,2015-08-17
327,al1509,2014-09-16,2015-09-15
328,al1510,2014-10-16,2015-10-15
329,al1511,2014-11-18,2015-11-16
330,al1512,2014-12-16,2015-12-15
331,al1601,2015-01-16,2016-01-15
332,al1602,2015-02-16,2016-02-15
333,al1603,2015-03-17,2016-03-15
334,al1604,2015-04-16,2016-04-15
335,al1605,2015-05-18,2016-05-16
336,al1606,2015-06-16,2016-06-15
337,al1607,2015-07-16,2016-07-15
338,al1608,2015-08-18,2016-08-15
339,al1609,2015-09-16,2016-09-19
340,al1610,2015-10-16,2016-10-17
341,al1611,2015-11-17,2016-11-15
342,al1612,2015-12-16,2016-12-15
343,al1701,2016-01-18,2017-01-16
344,al1702,2016-02-16,2017-02-15
345,al1703,2016-03-16,2017-03-15
346,al1704,2016-04-18,2017-04-17
347,al1705,2016-05-17,2017-05-15
348,al1706,2016-06-16,2017-06-15
349,al1707,2016-07-18,2017-07-17
350,al1708,2016-08-16,2017-08-15
351,al1709,2016-09-20,2017-09-15
352,al1710,2016-10-18,2017-10-16
353,al1711,2016-11-16,2017-11-15
354,al1712,2016-12-16,2017-12-15
355,al1801,2017-01-17,2018-01-15
356,al1802,2017-02-16,2018-02-09
357,al1803,2017-03-16,2018-03-15
358,al1804,2017-04-18,2018-04-16
359,al1805,2017-05-16,2018-05-15
360,al1806,2017-06-16,2018-06-15
361,al1807,2017-07-18,2018-07-16
362,al1808,2017-08-16,2018-08-15
363,al1809,2017-09-18,2018-09-17
364,al1810,2017-10-17,2018-10-15
365,al1811,2017-11-16,2018-11-15
366,al1812,2017-12-18,2018-12-17
367,al1901,2018-01-16,2019-01-15
368,al1902,2018-02-12,2019-02-15
369,al1903,2018-03-16,2019-03-15
370,al1904,2018-04-17,2019-04-15
371,al1905,2018-05-16,2019-05-15
372,al1906,2018-06-19,2019-06-17
373,al1907,2018-07-17,2019-07-15
374,al1908,2018-08-16,2019-08-15
375,al1909,2018-09-18,2019-09-16
376,al1910,2018-10-16,2019-10-15
377,al1911,2018-11-16,2019-11-15
378,al1912,2018-12-18,2019-12-16
379,al2001,2019-01-16,2020-01-15
380,al2002,2019-02-18,2020-02-17
381,al2003,2019-03-18,2020-03-16
382,al2004,2019-04-16,2020-04-15
383,al2005,2019-05-16,2020-05-15
384,al2006,2019-06-18,2020-06-15
385,al2007,2019-07-16,2020-07-15
386,al2008,2019-08-16,2020-08-17
387,al2009,2019-09-17,2020-09-15
388,al2010,2019-10-16,2020-10-15
389,al2011,2019-11-18,2020-11-16
390,al8888,2005-01-03,2030-01-01
391,al9999,2005-01-03,2030-01-01
392,ap805,2017-12-22,2018-05-15
393,ap807,2017-12-22,2018-07-13
394,ap810,2017-12-22,2018-10-15
395,ap811,2017-12-22,2018-11-14
396,ap812,2017-12-22,2018-12-14
397,ap901,2018-01-16,2019-01-15
398,ap903,2018-03-15,2019-03-14
399,ap905,2018-05-16,2019-05-17
400,ap907,2018-07-16,2019-07-12
401,ap910,2018-10-22,2019-10-21
402,ap911,2018-11-15,2019-11-14
403,ap912,2018-12-17,2019-12-13
404,ap001,2019-01-16,2020-01-15
405,ap003,2019-03-15,2020-03-13
406,ap005,2019-05-20,2020-05-15
407,ap007,2019-07-15,2020-07-14
408,ap010,2019-10-22,2020-10-22
409,ap011,2019-11-15,2020-11-13
410,ap8888,2017-12-22,2030-01-01
411,ap9999,2017-12-22,2030-01-01
412,au0806,2008-01-09,2008-06-16
413,au0807,2008-01-09,2008-07-15
414,au0808,2008-01-09,2008-08-15
415,au0809,2008-01-09,2008-08-29
416,au0810,2008-01-09,2008-10-15
417,au0811,2008-01-09,2008-11-17
418,au0812,2008-01-09,2008-12-15
419,au0901,2008-01-16,2009-01-15
420,au0902,2008-02-20,2009-02-16
421,au0903,2008-04-02,2009-03-16
422,au0904,2008-05-05,2009-03-26
423,au0905,2008-05-23,2009-05-15
424,au0906,2008-06-24,2009-06-15
425,au0907,2008-07-30,2009-07-15
426,au0908,2008-08-22,2009-08-17
427,au0909,2008-09-18,2009-09-15
428,au0910,2008-10-22,2009-10-15
429,au0911,2008-11-24,2009-11-16
430,au0912,2008-12-18,2009-12-15
431,au1001,2009-01-20,2010-01-15
432,au1002,2009-02-17,2010-02-09
433,au1003,2009-03-24,2010-03-15
434,au1004,2009-04-16,2010-04-15
435,au1005,2009-05-18,2010-05-17
436,au1006,2009-06-19,2010-06-17
437,au1007,2009-07-27,2010-07-15
438,au1008,2009-08-27,2010-08-16
439,au1009,2009-09-16,2010-09-15
440,au1010,2009-10-20,2010-10-15
441,au1011,2009-11-17,2010-11-15
442,au1012,2009-12-16,2010-12-15
443,au1101,2010-01-21,2011-01-17
444,au1102,2010-02-26,2011-02-15
445,au1103,2010-03-29,2011-03-15
446,au1104,2010-04-22,2011-04-15
447,au1105,2010-05-24,2011-05-16
448,au1106,2010-06-18,2011-06-15
449,au1107,2010-07-16,2011-07-15
450,au1108,2010-08-17,2011-08-15
451,au1109,2010-09-16,2011-09-15
452,au1110,2010-10-18,2011-10-17
453,au1111,2010-11-16,2011-11-15
454,au1112,2010-12-16,2011-12-15
455,au1201,2011-01-18,2012-01-13
456,au1202,2011-02-16,2012-02-15
457,au1203,2011-03-16,2012-03-15
458,au1204,2011-04-18,2012-04-16
459,au1205,2011-05-17,2012-05-15
460,au1206,2011-06-16,2012-06-15
461,au1207,2011-07-18,2012-07-16
462,au1208,2011-08-16,2012-08-15
463,au1209,2011-09-16,2012-09-17
464,au1210,2011-10-18,2012-10-15
465,au1211,2011-11-16,2012-11-15
466,au1212,2011-12-16,2012-12-17
467,au1301,2012-01-16,2013-01-15
468,au1302,2012-02-16,2013-02-18
469,au1303,2012-03-16,2013-03-15
470,au1304,2012-04-17,2013-04-15
471,au1305,2012-05-16,2013-05-15
472,au1306,2012-06-18,2013-06-17
473,au1307,2012-07-17,2013-07-15
474,au1308,2012-08-16,2013-08-15
475,au1309,2012-09-18,2013-09-16
476,au1310,2012-10-16,2013-10-15
477,au1311,2012-11-16,2013-11-15
478,au1312,2012-12-18,2013-12-16
479,au1401,2013-01-16,2014-01-15
480,au1402,2013-02-19,2014-02-17
481,au1403,2013-03-18,2014-03-17
482,au1404,2013-04-16,2014-04-15
483,au1405,2013-05-16,2014-05-15
484,au1406,2013-06-18,2014-06-16
485,au1407,2013-07-16,2014-07-15
486,au1408,2013-08-16,2014-08-15
487,au1409,2014-06-17,2014-09-15
488,au1410,2013-10-16,2014-10-15
489,au1411,2014-08-18,2014-11-17
490,au1412,2013-12-17,2014-12-15
491,au1501,2014-10-16,2015-01-15
492,au1502,2014-02-18,2015-02-10
493,au1503,2014-12-16,2015-03-16
494,au1504,2014-04-16,2015-04-15
495,au1505,2015-02-16,2015-05-15
496,au1506,2014-07-16,2015-06-15
497,au1507,2015-04-16,2015-07-15
498,au1508,2014-09-16,2015-08-17
499,au1509,2015-06-16,2015-09-15
500,au1510,2014-11-18,2015-10-15
501,au1511,2015-08-18,2015-11-16
502,au1512,2015-01-16,2015-12-15
503,au1601,2015-10-16,2016-01-15
504,au1602,2015-03-17,2016-02-15
505,au1603,2015-12-16,2016-03-15
506,au1604,2015-04-16,2016-04-15
507,au1605,2016-02-16,2016-05-16
508,au1606,2015-05-18,2016-06-15
509,au1607,2016-04-18,2016-07-15
510,au1608,2015-07-16,2016-08-15
511,au1609,2016-06-16,2016-09-19
512,au1610,2015-09-16,2016-10-17
513,au1611,2016-08-16,2016-11-15
514,au1612,2015-11-17,2016-12-15
515,au1701,2016-10-18,2017-01-16
516,au1702,2016-01-18,2017-02-15
517,au1703,2016-12-16,2017-03-15
518,au1704,2016-03-16,2017-04-17
519,au1705,2017-02-16,2017-05-15
520,au1706,2016-05-17,2017-06-15
521,au1707,2017-04-18,2017-07-17
522,au1708,2016-07-18,2017-08-15
523,au1709,2017-06-16,2017-09-15
524,au1710,2016-09-20,2017-10-16
525,au1711,2017-08-16,2017-11-15
526,au1712,2016-11-16,2017-12-15
527,au1801,2017-10-17,2018-01-15
528,au1802,2017-01-17,2018-02-09
529,au1803,2017-12-18,2018-03-15
530,au1804,2017-03-16,2018-04-16
531,au1805,2018-02-12,2018-05-15
532,au1806,2017-05-16,2018-06-15
533,au1807,2018-04-17,2018-07-16
534,au1808,2017-07-18,2018-08-15
535,au1809,2018-06-19,2018-09-17
536,au1810,2017-09-18,2018-10-15
537,au1811,2018-08-16,2018-11-15
538,au1812,2017-11-16,2018-12-17
539,au1901,2018-10-16,2019-01-15
540,au1902,2018-01-16,2019-02-15
541,au1903,2018-12-18,2019-03-15
542,au1904,2018-03-16,2019-04-15
543,au1905,2019-02-18,2019-05-15
544,au1906,2018-05-16,2019-06-17
545,au1907,2019-04-16,2019-07-15
546,au1908,2018-07-17,2019-08-15
547,au1909,2019-06-18,2019-09-16
548,au1910,2018-09-18,2019-10-15
549,au1911,2019-08-16,2019-11-15
550,au1912,2018-11-16,2019-12-16
551,au2001,2019-10-16,2020-01-15
552,au2002,2019-01-16,2020-02-17
553,au2004,2019-03-18,2020-04-15
554,au2006,2019-05-16,2020-06-15
555,au2008,2019-07-16,2020-08-17
556,au2010,2019-09-17,2020-10-15
557,au2012,2019-11-18,2020-12-15
558,au8888,2008-01-09,2030-01-01
559,au9999,2008-01-09,2030-01-01
560,b0503,2004-12-22,2005-03-14
561,b0505,2004-12-22,2005-05-20
562,b0507,2004-12-22,2005-07-14
563,b0509,2004-12-22,2005-09-14
564,b0511,2004-12-22,2005-11-14
565,b0601,2004-12-22,2006-01-17
566,b0603,2005-03-15,2006-03-14
567,b0605,2005-05-23,2006-05-19
568,b0607,2005-07-15,2006-07-14
569,b0609,2005-10-10,2006-09-14
570,b0611,2005-11-15,2006-11-14
571,b0701,2006-01-18,2007-01-17
572,b0703,2006-03-15,2007-03-14
573,b0705,2006-05-22,2007-05-21
574,b0707,2006-07-17,2007-07-13
575,b0709,2006-09-15,2007-09-14
576,b0711,2006-11-15,2007-11-14
577,b0801,2007-01-18,2008-01-15
578,b0803,2007-03-15,2008-03-14
579,b0805,2007-05-22,2008-05-16
580,b0807,2007-07-16,2008-07-14
581,b0809,2007-09-17,2008-09-12
582,b0811,2007-11-15,2008-11-14
583,b0901,2008-01-16,2009-01-16
584,b0903,2008-03-17,2009-03-13
585,b0905,2008-05-19,2009-05-15
586,b0907,2008-07-15,2009-07-14
587,b0909,2008-09-16,2009-09-14
588,b0911,2008-11-17,2009-11-13
589,b1001,2009-01-19,2010-01-15
590,b1003,2009-03-16,2010-03-12
591,b1005,2009-05-18,2010-05-17
592,b1007,2009-07-15,2010-07-14
593,b1009,2009-09-15,2010-09-14
594,b1011,2009-11-16,2010-11-12
595,b1101,2010-01-18,2011-01-17
596,b1103,2010-03-15,2011-03-14
597,b1105,2010-05-18,2011-05-16
598,b1107,2010-07-15,2011-07-14
599,b1109,2010-09-15,2011-09-15
600,b1111,2010-11-15,2011-11-14
601,b1201,2011-01-18,2012-01-17
602,b1203,2011-03-15,2012-03-14
603,b1205,2011-05-17,2012-05-15
604,b1207,2011-07-15,2012-07-13
605,b1209,2011-09-16,2012-09-14
606,b1211,2011-11-15,2012-11-14
607,b1301,2012-01-18,2013-01-17
608,b1303,2012-03-15,2013-03-14
609,b1305,2012-05-16,2013-05-15
610,b1307,2012-07-16,2013-07-12
611,b1309,2012-09-17,2013-09-13
612,b1311,2012-11-15,2013-11-14
613,b1401,2013-01-18,2014-01-15
614,b1403,2013-03-15,2014-03-14
615,b1405,2013-05-16,2014-05-16
616,b1407,2013-07-15,2014-07-14
617,b1409,2013-09-16,2014-09-15
618,b1411,2013-11-15,2014-11-14
619,b1501,2014-01-16,2015-01-16
620,b1503,2014-03-17,2015-03-13
621,b1505,2014-05-19,2015-05-15
622,b1507,2014-07-15,2015-07-14
623,b1509,2014-09-16,2015-09-16
624,b1511,2014-11-17,2015-11-13
625,b1601,2015-01-19,2016-01-15
626,b1603,2015-03-16,2016-03-14
627,b1605,2015-05-18,2016-05-16
628,b1607,2015-07-15,2016-07-14
629,b1609,2015-09-17,2016-09-14
630,b1611,2015-11-16,2016-11-14
631,b1701,2016-01-18,2017-01-16
632,b1703,2016-03-15,2017-03-14
633,b1705,2016-05-17,2017-05-15
634,b1707,2016-07-15,2017-07-14
635,b1709,2016-09-19,2017-09-14
636,b1711,2016-11-15,2017-11-14
637,b1801,2017-01-17,2018-01-15
638,b1803,2017-03-15,2018-03-14
639,b1805,2017-05-31,2018-05-15
640,b1806,2017-06-15,2018-06-14
641,b1807,2017-07-17,2018-07-13
642,b1808,2017-08-15,2018-08-14
643,b1809,2017-09-15,2018-09-14
644,b1810,2017-10-23,2018-10-19
645,b1811,2017-11-15,2018-11-14
646,b1812,2017-12-15,2018-12-14
647,b1901,2018-01-16,2019-01-15
648,b1902,2018-02-22,2019-02-21
649,b1903,2018-03-15,2019-03-14
650,b1904,2018-04-18,2019-04-15
651,b1905,2018-05-16,2019-05-17
652,b1906,2018-06-15,2019-06-17
653,b1907,2018-07-16,2019-07-12
654,b1908,2018-08-15,2019-08-14
655,b1909,2018-09-17,2019-09-16
656,b1910,2018-10-22,2019-10-21
657,b1911,2018-11-15,2019-11-14
658,b1912,2018-12-17,2019-12-13
659,b2001,2019-01-16,2020-01-15
660,b2002,2019-02-22,2020-02-14
661,b2003,2019-03-15,2020-03-13
662,b2004,2019-04-16,2020-04-14
663,b2005,2019-05-20,2020-05-15
664,b2006,2019-06-18,2020-06-12
665,b2007,2019-07-15,2020-07-14
666,b2008,2019-08-15,2020-08-14
667,b2009,2019-09-17,2020-09-14
668,b2010,2019-10-22,2020-10-22
669,b2011,2019-11-15,2020-11-13
670,b8888,2005-01-03,2030-01-01
671,b9999,2005-01-03,2030-01-01
672,bb1404,2013-12-06,2014-04-15
673,bb1405,2013-12-06,2014-05-16
674,bb1406,2013-12-06,2014-06-16
675,bb1407,2013-12-06,2014-07-14
676,bb1408,2013-12-06,2014-08-14
677,bb1409,2013-12-06,2014-09-15
678,bb1410,2013-12-06,2014-10-21
679,bb1411,2013-12-06,2014-11-14
680,bb1412,2013-12-16,2014-12-12
681,bb1501,2014-01-16,2015-01-16
682,bb1502,2014-02-21,2015-02-13
683,bb1503,2014-03-17,2015-03-13
684,bb1504,2014-04-16,2015-04-15
685,bb1505,2014-05-19,2015-05-15
686,bb1506,2014-06-17,2015-06-12
687,bb1507,2014-07-15,2015-07-14
688,bb1508,2014-08-15,2015-08-14
689,bb1509,2014-09-16,2015-09-16
690,bb1510,2014-10-22,2015-10-21
691,bb1511,2014-11-17,2015-11-13
